city,zone,vehicle_type,platform,season,month,avg_daily_orders,avg_daily_hours,effective_heat_days,effective_rain_days,effective_aqi_days,zone_flood_risk,zone_risk_score
Delhi,ITO,Two-Wheeler ICE,Swiggy,Post-monsoon,10,16,12,1.4,0.6,35.0,1.4,1.49
Mumbai,Parel,Two-Wheeler EV,Zomato,Winter,12,27,9,0.0,0.6,1.8,1.3,1.08
Delhi,ITO,Two-Wheeler ICE,Zomato,Monsoon,7,18,6,2.8,1.35,5.0,1.4,1.34
Mumbai,Parel,Two-Wheeler EV,Both,Pre-monsoon,3,13,11,0.0,0.6,0.8,1.3,0.99
Chennai,Velachery,Bicycle,Swiggy,Winter,1,41,11,0.2,0.2,3.6,1.4,1.18
Chennai,Velachery,Two-Wheeler ICE,Swiggy,Monsoon,7,14,12,0.4,3.6,0.4,1.4,1.24
Mumbai,Bandra,Two-Wheeler ICE,Swiggy,Pre-monsoon,4,32,7,0.0,1.2,0.4,1.1,1.04
Delhi,Yamuna Floodplain,Two-Wheeler ICE,Zomato,Monsoon,8,22,7,1.4,1.35,5.0,1.5,1.35
Delhi,Lajpat Nagar,Bicycle,Zomato,Monsoon,8,43,9,1.4,1.35,5.0,1.1,1.15
Chennai,Perungudi,Two-Wheeler EV,Swiggy,Monsoon,7,32,6,0.4,3.6,0.4,1.38,1.3
Bengaluru,Koramangala,Two-Wheeler ICE,Zomato,Winter,1,17,13,0.0,0.03,2.7,1.2,1.05
Delhi,Azad Market,Two-Wheeler ICE,Zomato,Winter,2,35,13,1.4,0.075,40.0,1.35,1.5
Chennai,Perungudi,Two-Wheeler EV,Both,Post-monsoon,10,30,6,0.2,1.6,2.8,1.38,1.13
Bengaluru,Koramangala,Two-Wheeler ICE,Swiggy,Pre-monsoon,4,13,6,0.0,0.06,0.6,1.2,0.95
Mumbai,Bandra,Two-Wheeler EV,Swiggy,Post-monsoon,11,28,7,0.0,3.0,1.8,1.1,1.03
Hyderabad,Falaknuma,Two-Wheeler ICE,Swiggy,Pre-monsoon,4,14,11,0.85,0.1,0.3,1.35,1.05
Chennai,Adyar,Two-Wheeler ICE,Swiggy,Winter,12,33,11,0.2,0.2,3.6,1.4,1.23
Mumbai,Kurla,Two-Wheeler ICE,Both,Pre-monsoon,4,21,10,0.0,1.2,0.4,1.35,1.11
Mumbai,Andheri,Two-Wheeler ICE,Swiggy,Winter,1,35,10,0.0,0.6,1.8,1.3,1.16
Mumbai,Bandra,Two-Wheeler EV,Zomato,Winter,2,44,8,0.0,0.6,1.6,1.1,1.03
Bengaluru,Koramangala,Two-Wheeler ICE,Zomato,Post-monsoon,10,14,6,0.0,0.24,2.1,1.2,0.96
Chennai,Perungudi,Two-Wheeler ICE,Zomato,Monsoon,9,20,10,0.2,2.4,0.8,1.38,1.24
Chennai,Pallikaranai,Bicycle,Zomato,Winter,2,13,12,0.2,0.2,3.2,1.45,1.1
Delhi,Azad Market,Two-Wheeler ICE,Zomato,Post-monsoon,11,44,11,1.4,0.375,45.0,1.35,1.5
Delhi,ITO,Two-Wheeler ICE,Zomato,Post-monsoon,11,18,6,1.4,0.375,45.0,1.4,1.49
Bengaluru,Indiranagar,Two-Wheeler ICE,Swiggy,Pre-monsoon,5,11,13,0.0,0.12,0.6,1.1,0.9
Delhi,ITO,Two-Wheeler ICE,Both,Winter,2,39,6,1.4,0.075,40.0,1.4,1.5
Bengaluru,Mahadevapura,Two-Wheeler ICE,Zomato,Pre-monsoon,4,39,11,0.0,0.06,0.6,1.5,1.2
Bengaluru,Whitefield,Two-Wheeler EV,Swiggy,Pre-monsoon,3,32,6,0.0,0.03,1.2,1.4,1.13
Delhi,Connaught Place,Bicycle,Zomato,Post-monsoon,11,34,6,1.4,0.375,45.0,1.05,1.31
Delhi,ITO,Two-Wheeler EV,Zomato,Pre-monsoon,3,40,12,4.2,0.075,20.0,1.4,1.47
Hyderabad,Begumpet,Two-Wheeler EV,Swiggy,Post-monsoon,10,26,9,0.17,0.4,1.05,1.2,0.98
Hyderabad,Begumpet,Two-Wheeler ICE,Swiggy,Post-monsoon,11,20,9,0.17,0.25,1.35,1.2,1.01
Delhi,Yamuna Floodplain,Two-Wheeler ICE,Zomato,Monsoon,6,27,13,12.6,0.9,5.0,1.5,1.5
Delhi,Connaught Place,Two-Wheeler ICE,Swiggy,Post-monsoon,10,20,13,1.4,0.6,35.0,1.05,1.32
Mumbai,Wadala,Two-Wheeler ICE,Zomato,Monsoon,7,17,8,0.0,10.8,0.2,1.25,1.43
Mumbai,Chembur,Two-Wheeler ICE,Swiggy,Post-monsoon,11,17,10,0.0,3.0,1.8,1.45,1.23
Bengaluru,Whitefield,Two-Wheeler EV,Zomato,Monsoon,8,21,10,0.0,0.54,0.3,1.4,1.14
Mumbai,Parel,Two-Wheeler EV,Both,Winter,1,27,12,0.0,0.6,1.8,1.3,1.08
Mumbai,Chembur,Two-Wheeler ICE,Swiggy,Winter,12,37,6,0.0,0.6,1.8,1.45,1.24
Delhi,Saket,Two-Wheeler ICE,Zomato,Monsoon,6,39,9,12.6,0.9,5.0,1.05,1.41
Mumbai,Andheri,Two-Wheeler ICE,Swiggy,Winter,1,35,9,0.0,0.6,1.8,1.3,1.16
Delhi,ITO,Two-Wheeler ICE,Both,Monsoon,9,31,6,1.4,0.9,10.0,1.4,1.39
Chennai,Perungudi,Two-Wheeler ICE,Zomato,Post-monsoon,11,20,13,0.2,1.0,3.6,1.38,1.15
Delhi,Lajpat Nagar,Two-Wheeler ICE,Zomato,Pre-monsoon,5,17,9,12.6,0.3,10.0,1.1,1.37
Hyderabad,Falaknuma,Two-Wheeler EV,Zomato,Winter,1,29,10,0.17,0.05,1.35,1.35,1.09
Mumbai,Dharavi,Two-Wheeler EV,Swiggy,Monsoon,6,12,13,0.0,7.2,0.2,1.35,1.3
Delhi,ITO,Two-Wheeler ICE,Zomato,Pre-monsoon,4,41,7,7.0,0.15,10.0,1.4,1.47
Bengaluru,Mahadevapura,Two-Wheeler ICE,Swiggy,Pre-monsoon,4,27,12,0.0,0.06,0.6,1.5,1.15
Bengaluru,Bellandur,Two-Wheeler EV,Zomato,Pre-monsoon,4,33,11,0.0,0.06,0.6,1.45,1.14
Mumbai,Parel,Two-Wheeler ICE,Swiggy,Post-monsoon,11,39,8,0.0,3.0,1.8,1.3,1.21
Hyderabad,Madhapur,Two-Wheeler EV,Swiggy,Monsoon,8,30,12,0.17,0.9,0.15,1.3,1.11
Delhi,Connaught Place,Bicycle,Zomato,Post-monsoon,10,23,6,1.4,0.6,35.0,1.05,1.27
Delhi,ITO,Bicycle,Zomato,Monsoon,8,10,7,1.4,1.35,5.0,1.4,1.2
Delhi,Yamuna Floodplain,Two-Wheeler EV,Both,Post-monsoon,11,19,12,1.4,0.375,45.0,1.5,1.5
Mumbai,Parel,Bicycle,Both,Post-monsoon,11,36,10,0.0,3.0,1.8,1.3,1.16
Chennai,Anna Nagar,Two-Wheeler EV,Swiggy,Monsoon,8,13,13,0.2,3.6,0.4,1.05,1.03
Hyderabad,Banjara Hills,Two-Wheeler ICE,Swiggy,Post-monsoon,10,44,11,0.17,0.4,1.05,1.05,0.99
Delhi,ITO,Two-Wheeler EV,Both,Monsoon,7,11,12,2.8,1.35,5.0,1.4,1.26
Hyderabad,Madhapur,Two-Wheeler EV,Swiggy,Pre-monsoon,5,24,10,1.53,0.2,0.3,1.3,1.07
Hyderabad,HITEC City,Two-Wheeler ICE,Zomato,Monsoon,6,38,8,1.53,0.6,0.15,1.25,1.19
Bengaluru,Mahadevapura,Two-Wheeler EV,Swiggy,Winter,2,34,9,0.0,0.03,2.4,1.5,1.22
Delhi,Saket,Two-Wheeler ICE,Zomato,Winter,1,18,13,1.4,0.075,45.0,1.05,1.34
Bengaluru,Whitefield,Two-Wheeler ICE,Swiggy,Winter,12,11,8,0.0,0.03,2.7,1.4,1.1
Chennai,Pallikaranai,Two-Wheeler EV,Swiggy,Monsoon,7,22,9,0.4,3.6,0.4,1.45,1.29
Delhi,Azad Market,Two-Wheeler ICE,Zomato,Pre-monsoon,5,41,9,12.6,0.3,10.0,1.35,1.5
Chennai,Pallikaranai,Two-Wheeler ICE,Zomato,Monsoon,8,44,6,0.2,3.6,0.4,1.45,1.36
Hyderabad,Falaknuma,Two-Wheeler ICE,Both,Monsoon,7,34,7,0.34,0.9,0.15,1.35,1.22
Delhi,Connaught Place,Two-Wheeler ICE,Zomato,Pre-monsoon,4,22,8,7.0,0.15,10.0,1.05,1.25
Bengaluru,Indiranagar,Two-Wheeler ICE,Swiggy,Winter,1,22,10,0.0,0.03,2.7,1.1,1.0
Delhi,Yamuna Floodplain,Two-Wheeler ICE,Both,Monsoon,8,41,8,1.4,1.35,5.0,1.5,1.4
Bengaluru,Sarjapur Road,Two-Wheeler ICE,Zomato,Monsoon,7,30,8,0.0,0.54,0.3,1.45,1.2
Delhi,Yamuna Floodplain,Two-Wheeler ICE,Swiggy,Post-monsoon,11,40,10,1.4,0.375,45.0,1.5,1.5
Mumbai,Parel,Bicycle,Swiggy,Post-monsoon,11,26,11,0.0,3.0,1.8,1.3,1.11
Chennai,Perungudi,Two-Wheeler ICE,Swiggy,Pre-monsoon,5,16,8,1.8,0.8,0.8,1.38,1.17
Mumbai,Parel,Two-Wheeler ICE,Zomato,Winter,12,25,8,0.0,0.6,1.8,1.3,1.11
Delhi,Azad Market,Two-Wheeler ICE,Zomato,Monsoon,6,12,6,12.6,0.9,5.0,1.35,1.46
Delhi,Azad Market,Two-Wheeler ICE,Zomato,Post-monsoon,10,23,13,1.4,0.6,35.0,1.35,1.47
Mumbai,Chembur,Two-Wheeler ICE,Swiggy,Pre-monsoon,3,24,7,0.0,0.6,0.8,1.45,1.15
Mumbai,Chembur,Two-Wheeler ICE,Swiggy,Monsoon,9,27,9,0.0,7.2,0.4,1.45,1.43
Delhi,ITO,Two-Wheeler ICE,Swiggy,Monsoon,6,21,8,12.6,0.9,5.0,1.4,1.5
Mumbai,Chembur,Two-Wheeler ICE,Swiggy,Monsoon,6,42,7,0.0,7.2,0.2,1.45,1.48
Delhi,ITO,Bicycle,Zomato,Pre-monsoon,3,14,12,4.2,0.075,20.0,1.4,1.35
Delhi,Lajpat Nagar,Two-Wheeler ICE,Swiggy,Post-monsoon,11,31,11,1.4,0.375,45.0,1.1,1.39
Delhi,ITO,Two-Wheeler ICE,Swiggy,Pre-monsoon,5,39,13,12.6,0.3,10.0,1.4,1.5
Delhi,ITO,Two-Wheeler ICE,Both,Post-monsoon,10,42,6,1.4,0.6,35.0,1.4,1.5
Chennai,Anna Nagar,Two-Wheeler EV,Zomato,Post-monsoon,10,21,10,0.2,1.6,2.8,1.05,0.97
Mumbai,Wadala,Two-Wheeler ICE,Zomato,Monsoon,6,12,11,0.0,7.2,0.2,1.25,1.28
Bengaluru,Indiranagar,Two-Wheeler EV,Swiggy,Monsoon,8,34,7,0.0,0.54,0.3,1.1,1.04
Delhi,Lajpat Nagar,Two-Wheeler ICE,Swiggy,Pre-monsoon,5,15,6,12.6,0.3,10.0,1.1,1.37
Delhi,Saket,Bicycle,Zomato,Post-monsoon,11,10,10,1.4,0.375,45.0,1.05,1.21
Chennai,Perungudi,Two-Wheeler ICE,Zomato,Monsoon,8,28,9,0.2,3.6,0.4,1.38,1.28
Delhi,Yamuna Floodplain,Two-Wheeler EV,Swiggy,Pre-monsoon,3,33,7,4.2,0.075,20.0,1.5,1.5
Chennai,Sholinganallur,Two-Wheeler ICE,Zomato,Post-monsoon,11,18,12,0.2,1.0,3.6,1.35,1.14
Bengaluru,Mahadevapura,Two-Wheeler EV,Zomato,Winter,1,29,13,0.0,0.03,2.7,1.5,1.17
Delhi,Connaught Place,Two-Wheeler ICE,Zomato,Monsoon,9,37,12,1.4,0.9,10.0,1.05,1.22
Mumbai,Chembur,Two-Wheeler ICE,Zomato,Winter,12,33,11,0.0,0.6,1.8,1.45,1.24
Chennai,Sholinganallur,Two-Wheeler ICE,Swiggy,Monsoon,9,41,11,0.2,2.4,0.8,1.35,1.27
Mumbai,Dharavi,Two-Wheeler EV,Swiggy,Post-monsoon,11,28,13,0.0,3.0,1.8,1.35,1.15
Delhi,Lajpat Nagar,Two-Wheeler EV,Zomato,Post-monsoon,10,41,6,1.4,0.6,35.0,1.1,1.36
Bengaluru,Bellandur,Bicycle,Swiggy,Monsoon,9,10,13,0.0,0.36,0.6,1.45,1.09
Mumbai,Bandra,Two-Wheeler ICE,Zomato,Post-monsoon,11,21,6,0.0,3.0,1.8,1.1,1.06
Hyderabad,Begumpet,Two-Wheeler ICE,Zomato,Monsoon,6,26,12,1.53,0.6,0.15,1.2,1.12
Delhi,ITO,Two-Wheeler ICE,Zomato,Winter,12,33,7,1.4,0.075,45.0,1.4,1.5
Chennai,Pallikaranai,Two-Wheeler ICE,Zomato,Pre-monsoon,4,40,9,1.0,0.4,0.8,1.45,1.22
Mumbai,Kurla,Two-Wheeler ICE,Both,Monsoon,8,19,7,0.0,10.8,0.2,1.35,1.48
Mumbai,Parel,Two-Wheeler ICE,Swiggy,Monsoon,9,13,8,0.0,7.2,0.4,1.3,1.31
Hyderabad,Banjara Hills,Bicycle,Zomato,Winter,12,44,9,0.17,0.05,1.35,1.05,0.97
Mumbai,Chembur,Two-Wheeler ICE,Swiggy,Winter,1,29,9,0.0,0.6,1.8,1.45,1.19
Delhi,Connaught Place,Two-Wheeler ICE,Swiggy,Winter,2,18,10,1.4,0.075,40.0,1.05,1.34
Delhi,Saket,Two-Wheeler ICE,Swiggy,Post-monsoon,10,22,6,1.4,0.6,35.0,1.05,1.32
Hyderabad,HITEC City,Two-Wheeler EV,Zomato,Pre-monsoon,5,14,7,1.53,0.2,0.3,1.25,0.99
Delhi,Azad Market,Two-Wheeler ICE,Swiggy,Pre-monsoon,5,24,7,12.6,0.3,10.0,1.35,1.49
Chennai,Velachery,Two-Wheeler ICE,Zomato,Pre-monsoon,3,21,8,0.6,0.2,1.6,1.4,1.13
Hyderabad,Banjara Hills,Two-Wheeler EV,Swiggy,Monsoon,8,41,9,0.17,0.9,0.15,1.05,1.03
Mumbai,Wadala,Two-Wheeler ICE,Both,Pre-monsoon,4,25,6,0.0,1.2,0.4,1.25,1.06
Hyderabad,Banjara Hills,Two-Wheeler ICE,Zomato,Pre-monsoon,3,15,12,0.51,0.05,0.6,1.05,0.94
Delhi,Connaught Place,Two-Wheeler ICE,Swiggy,Post-monsoon,10,42,13,1.4,0.6,35.0,1.05,1.37
Mumbai,Bandra,Bicycle,Swiggy,Winter,1,16,8,0.0,0.6,1.8,1.1,0.96
Delhi,Lajpat Nagar,Two-Wheeler ICE,Zomato,Pre-monsoon,5,42,6,12.6,0.3,10.0,1.1,1.42
Bengaluru,Koramangala,Two-Wheeler EV,Both,Pre-monsoon,4,36,10,0.0,0.06,0.6,1.2,1.02
Bengaluru,Mahadevapura,Bicycle,Zomato,Monsoon,7,10,9,0.0,0.54,0.3,1.5,1.12
Delhi,Yamuna Floodplain,Two-Wheeler ICE,Both,Monsoon,7,15,11,2.8,1.35,5.0,1.5,1.39
Bengaluru,Mahadevapura,Two-Wheeler ICE,Swiggy,Post-monsoon,11,26,10,0.0,0.15,2.7,1.5,1.17
Mumbai,Kurla,Two-Wheeler ICE,Zomato,Winter,1,16,13,0.0,0.6,1.8,1.35,1.14
Chennai,Velachery,Bicycle,Swiggy,Monsoon,7,36,7,0.4,3.6,0.4,1.4,1.29
Hyderabad,Charminar,Two-Wheeler EV,Swiggy,Monsoon,8,22,7,0.17,0.9,0.15,1.35,1.13
Mumbai,Wadala,Two-Wheeler ICE,Zomato,Post-monsoon,10,41,11,0.0,4.8,1.4,1.25,1.24
Mumbai,Chembur,Two-Wheeler ICE,Swiggy,Post-monsoon,11,14,11,0.0,3.0,1.8,1.45,1.18
Delhi,Saket,Two-Wheeler ICE,Swiggy,Post-monsoon,10,21,12,1.4,0.6,35.0,1.05,1.32
Bengaluru,Sarjapur Road,Two-Wheeler ICE,Zomato,Pre-monsoon,5,14,8,0.0,0.12,0.6,1.45,1.08
Hyderabad,Charminar,Two-Wheeler ICE,Both,Post-monsoon,11,17,10,0.17,0.25,1.35,1.35,1.08
Delhi,ITO,Two-Wheeler ICE,Zomato,Winter,2,31,9,1.4,0.075,40.0,1.4,1.5
Delhi,Azad Market,Two-Wheeler EV,Zomato,Post-monsoon,11,24,7,1.4,0.375,45.0,1.35,1.43
Chennai,Adyar,Two-Wheeler ICE,Swiggy,Monsoon,7,21,12,0.4,3.6,0.4,1.4,1.29
Delhi,Yamuna Floodplain,Bicycle,Both,Winter,2,41,6,1.4,0.075,40.0,1.5,1.5
Chennai,Adyar,Two-Wheeler ICE,Zomato,Monsoon,8,36,10,0.2,3.6,0.4,1.4,1.34
Delhi,ITO,Two-Wheeler ICE,Zomato,Monsoon,9,19,11,1.4,0.9,10.0,1.4,1.34
Chennai,Pallikaranai,Two-Wheeler ICE,Swiggy,Monsoon,9,15,7,0.2,2.4,0.8,1.45,1.27
Delhi,Lajpat Nagar,Two-Wheeler ICE,Both,Monsoon,6,37,8,12.6,0.9,5.0,1.1,1.44
Delhi,Connaught Place,Two-Wheeler ICE,Both,Winter,12,24,11,1.4,0.075,45.0,1.05,1.34
Delhi,Azad Market,Two-Wheeler ICE,Swiggy,Winter,12,37,9,1.4,0.075,45.0,1.35,1.5
Chennai,Pallikaranai,Two-Wheeler ICE,Swiggy,Post-monsoon,11,16,8,0.2,1.0,3.6,1.45,1.19
Bengaluru,Koramangala,Bicycle,Zomato,Monsoon,8,44,11,0.0,0.54,0.3,1.2,1.07
Hyderabad,Madhapur,Two-Wheeler ICE,Zomato,Monsoon,8,21,8,0.17,0.9,0.15,1.3,1.14
Mumbai,Dharavi,Two-Wheeler EV,Zomato,Winter,12,37,9,0.0,0.6,1.8,1.35,1.16
Bengaluru,Mahadevapura,Two-Wheeler ICE,Zomato,Winter,2,38,10,0.0,0.03,2.4,1.5,1.25
Delhi,ITO,Two-Wheeler ICE,Zomato,Pre-monsoon,3,15,7,4.2,0.075,20.0,1.4,1.45
Mumbai,Wadala,Two-Wheeler ICE,Swiggy,Post-monsoon,10,37,8,0.0,4.8,1.4,1.25,1.24
Delhi,Connaught Place,Two-Wheeler EV,Swiggy,Monsoon,6,40,6,12.6,0.9,5.0,1.05,1.38
Mumbai,Kurla,Two-Wheeler ICE,Swiggy,Post-monsoon,11,35,10,0.0,3.0,1.8,1.35,1.23
Mumbai,Dharavi,Two-Wheeler ICE,Swiggy,Pre-monsoon,3,22,13,0.0,0.6,0.8,1.35,1.1
Delhi,Yamuna Floodplain,Two-Wheeler ICE,Zomato,Winter,2,16,11,1.4,0.075,40.0,1.5,1.5
Delhi,Saket,Two-Wheeler ICE,Swiggy,Monsoon,9,32,13,1.4,0.9,10.0,1.05,1.22
Chennai,Perungudi,Two-Wheeler ICE,Zomato,Post-monsoon,11,16,8,0.2,1.0,3.6,1.38,1.15
Bengaluru,Mahadevapura,Two-Wheeler EV,Zomato,Post-monsoon,10,29,10,0.0,0.24,2.1,1.5,1.13
Bengaluru,Bellandur,Two-Wheeler ICE,Swiggy,Monsoon,9,27,6,0.0,0.36,0.6,1.45,1.19
Bengaluru,Koramangala,Two-Wheeler ICE,Zomato,Monsoon,8,23,9,0.0,0.54,0.3,1.2,1.07
Bengaluru,Indiranagar,Two-Wheeler ICE,Swiggy,Pre-monsoon,4,12,12,0.0,0.06,0.6,1.1,0.9
Delhi,Saket,Two-Wheeler ICE,Both,Monsoon,6,41,9,12.6,0.9,5.0,1.05,1.41
Delhi,Yamuna Floodplain,Two-Wheeler ICE,Zomato,Post-monsoon,10,30,13,1.4,0.6,35.0,1.5,1.5
Delhi,Connaught Place,Two-Wheeler ICE,Swiggy,Pre-monsoon,3,24,7,4.2,0.075,20.0,1.05,1.28
Mumbai,Chembur,Two-Wheeler ICE,Swiggy,Monsoon,6,11,9,0.0,7.2,0.2,1.45,1.38
Chennai,Anna Nagar,Two-Wheeler ICE,Zomato,Pre-monsoon,4,42,9,1.0,0.4,0.8,1.05,1.02
Delhi,ITO,Two-Wheeler EV,Swiggy,Winter,2,39,7,1.4,0.075,40.0,1.4,1.5
Delhi,ITO,Two-Wheeler ICE,Swiggy,Winter,2,24,13,1.4,0.075,40.0,1.4,1.5
Delhi,Lajpat Nagar,Two-Wheeler ICE,Both,Monsoon,7,44,13,2.8,1.35,5.0,1.1,1.24
Mumbai,Wadala,Two-Wheeler ICE,Zomato,Monsoon,6,30,13,0.0,7.2,0.2,1.25,1.33
Chennai,Anna Nagar,Two-Wheeler ICE,Zomato,Monsoon,8,30,12,0.2,3.6,0.4,1.05,1.11
Hyderabad,Charminar,Two-Wheeler ICE,Swiggy,Monsoon,8,42,13,0.17,0.9,0.15,1.35,1.21
Mumbai,Dharavi,Two-Wheeler ICE,Zomato,Monsoon,7,33,6,0.0,10.8,0.2,1.35,1.5
Delhi,ITO,Two-Wheeler EV,Zomato,Monsoon,8,15,12,1.4,1.35,5.0,1.4,1.27
Chennai,Pallikaranai,Two-Wheeler EV,Swiggy,Winter,2,19,6,0.2,0.2,3.2,1.45,1.17
Delhi,Azad Market,Two-Wheeler ICE,Swiggy,Winter,12,43,13,1.4,0.075,45.0,1.35,1.5
Delhi,Saket,Two-Wheeler ICE,Swiggy,Pre-monsoon,5,33,7,12.6,0.3,10.0,1.05,1.39
Mumbai,Chembur,Two-Wheeler ICE,Zomato,Post-monsoon,11,26,13,0.0,3.0,1.8,1.45,1.23
Mumbai,Wadala,Two-Wheeler ICE,Swiggy,Pre-monsoon,4,29,7,0.0,1.2,0.4,1.25,1.06
Mumbai,Chembur,Bicycle,Zomato,Winter,1,43,13,0.0,0.6,1.8,1.45,1.19
Chennai,Pallikaranai,Two-Wheeler ICE,Swiggy,Winter,1,23,7,0.2,0.2,3.6,1.45,1.2
Hyderabad,Charminar,Two-Wheeler ICE,Zomato,Monsoon,6,31,7,1.53,0.6,0.15,1.35,1.24
Chennai,Adyar,Two-Wheeler ICE,Swiggy,Monsoon,6,39,6,1.8,2.4,0.4,1.4,1.34
